author,added,deleted,net,revisions,months,lastcontrib,firstcontrib
Ronni Elken Lindsgaard,6012,5427,585,142,9,2013-12-06,2013-02-13
Bue Petersen,5871,717,5154,36,39,2018-01-16,2014-09-29
Mads Nielsen,5405,4586,819,92,45,2018-01-17,2014-04-15
Thierry Lacour,3431,2702,729,20,18,2017-03-02,2015-08-27
Simon Groenborg,2500,2415,85,31,0,2017-10-12,2017-09-26
Andrius Ordojan,2293,405,1888,42,5,2015-01-28,2014-08-15
Esben Skaarup,1733,1862,-129,33,3,2013-06-02,2013-02-20
Claus Schneider(Praqma),1620,679,941,10,1,2017-09-12,2017-08-04
Alexander Uldall,1429,986,443,30,2,2013-06-10,2013-03-13
Jes Struck,572,0,572,1,0,2014-06-18,2014-06-18
Andreas Frisch,454,21,433,7,2,2013-06-05,2013-03-13
Simon Grønborg,300,544,-244,6,0,2017-12-06,2017-11-22
Praqma Service User,122,23,99,4,0,2018-01-19,2018-01-18
Florent Haxha,25,32,-7,5,0,2017-09-27,2017-09-21
Claus Schneider (Praqma),10,5,5,2,0,2017-12-20,2017-12-20
sben,7,0,7,1,0,2013-03-03,2013-03-03
convert-repo,5,0,5,1,0,2013-07-11,2013-07-11
Aske Olsson,5,5,0,2,0,2014-08-22,2014-08-22
