author,color,team
Claus Schneider (Praqma),#000000,_unassigned_
Mads Nielsen,#000000,_unassigned_
Simon Grønborg,#000000,_unassigned_
Praqma Service User,#000000,_unassigned_
Jes Struck,#000000,_unassigned_
Andreas Frisch,#000000,_unassigned_
Thierry Lacour,#000000,_unassigned_
Alexander Uldall,#000000,_unassigned_
Ronni Elken Lindsgaard,#000000,_unassigned_
Bue Petersen,#000000,_unassigned_
Aske Olsson,#000000,_unassigned_
Florent Haxha,#000000,_unassigned_
Simon Groenborg,#000000,_unassigned_
Esben Skaarup,#000000,_unassigned_
Andrius Ordojan,#000000,_unassigned_
Claus Schneider(Praqma),#000000,_unassigned_
