added,deleted,net,revisions,index,rollingadded,rollingdeleted,rollingmodified
6,0,6,1,2013-02-13T00:00:00.000Z,63,4,59
184,0,184,1,2013-02-18T00:00:00.000Z,83,5,79
8,10,-2.0,1,2013-02-20T00:00:00.000Z,91,6,85
1,1,0,2,2013-02-23T00:00:00.000Z,120,10,110
106,2,104,1,2013-02-25T00:00:00.000Z,120,10,110
124,6,118,6,2013-02-27T00:00:00.000Z,138,20,119
9,11,-2.0,4,2013-03-03T00:00:00.000Z,192,46,147
149,2,147,5,2013-03-13T00:00:00.000Z,230,53,177
238,11,227,3,2013-03-16T00:00:00.000Z,219,53,166
213,36,177,4,2013-03-28T00:00:00.000Z,190,52,139
1,1,0,1,2013-04-01T00:00:00.000Z,215,139,113
234,73,161,3,2013-04-02T00:00:00.000Z,228,179,113
500,185,315,9,2013-04-13T00:00:00.000Z,207,178,94
272,63,209,1,2013-04-15T00:00:00.000Z,137,152,50
77,2,75,1,2013-04-20T00:00:00.000Z,109,155,20
36,2,34,1,2013-04-22T00:00:00.000Z,119,155,30
387,647,-260.0,7,2013-04-24T00:00:00.000Z,222,200,87
91,283,-192.0,3,2013-04-26T00:00:00.000Z,180,113,95
87,64,23,4,2013-04-28T00:00:00.000Z,171,76,96
10,3,7,1,2013-05-01T00:00:00.000Z,191,68,124
74,81,-7.0,2,2013-05-04T00:00:00.000Z,386,239,148
151,2,149,1,2013-05-06T00:00:00.000Z,389,230,159
752,323,429,15,2013-05-15T00:00:00.000Z,390,235,155
97,37,60,7,2013-05-19T00:00:00.000Z,352,304,93
26,22,4,4,2013-05-20T00:00:00.000Z,358,308,95
224,8,216,4,2013-05-29T00:00:00.000Z,378,325,98
1377,1198,179,8,2013-06-02T00:00:00.000Z,351,324,73
97,23,74,2,2013-06-03T00:00:00.000Z,177,159,63
155,35,120,2,2013-06-05T00:00:00.000Z,240,161,125
489,807,-318.0,14,2013-06-08T00:00:00.000Z,296,335,108
135,63,72,8,2013-06-10T00:00:00.000Z,240,227,115
167,139,28,3,2013-06-20T00:00:00.000Z,224,218,107
39,0,39,1,2013-06-29T00:00:00.000Z,205,199,107
154,48,106,2,2013-06-30T00:00:00.000Z,203,203,102
544,34,510,4,2013-07-01T00:00:00.000Z,182,197,86
547,1257,-710.0,20,2013-07-02T00:00:00.000Z,115,194,23
95,48,47,9,2013-07-03T00:00:00.000Z,43,18,25
22,0,22,1,2013-07-04T00:00:00.000Z,44,17,26
35,9,26,2,2013-07-10T00:00:00.000Z,133,170,23
21,22,-1.0,3,2013-07-11T00:00:00.000Z,184,175,69
8,8,0,1,2013-07-13T00:00:00.000Z,181,173,69
76,12,64,4,2013-07-15T00:00:00.000Z,191,172,80
45,29,16,5,2013-07-25T00:00:00.000Z,184,178,71
99,42,57,4,2013-07-26T00:00:00.000Z,184,178,71
645,1067,-422.0,4,2013-08-03T00:00:00.000Z,170,172,63
391,42,349,3,2013-08-04T00:00:00.000Z,88,23,70
0,9,-9.0,1,2013-08-23T00:00:00.000Z,35,19,21
78,3,75,1,2013-08-27T00:00:00.000Z,40,19,25
31,57,-26.0,2,2013-09-07T00:00:00.000Z,35,25,14
41,23,18,1,2013-09-08T00:00:00.000Z,34,18,15
2,1,1,1,2013-09-24T00:00:00.000Z,35,19,16
76,29,47,3,2013-10-19T00:00:00.000Z,35,20,16
19,13,6,3,2013-10-20T00:00:00.000Z,25,17,9
32,5,27,1,2013-10-22T00:00:00.000Z,26,15,12
47,47,0,1,2013-10-23T00:00:00.000Z,23,200,8
19,10,9,1,2013-11-10T00:00:00.000Z,19,201,8
48,28,20,3,2013-11-11T00:00:00.000Z,22,209,7
4,11,-7.0,1,2013-11-26T00:00:00.000Z,33,209,17
7,3,4,1,2013-11-27T00:00:00.000Z,41,212,22
27,3,24,1,2013-12-02T00:00:00.000Z,49,222,21
11,1296,-1285.0,1,2013-12-06T00:00:00.000Z,50,224,21
14,57,-43.0,1,2014-04-15T00:00:00.000Z,57,42,25
43,65,-22.0,2,2014-04-23T00:00:00.000Z,77,45,37
122,31,91,6,2014-04-24T00:00:00.000Z,72,36,38
63,28,35,1,2014-04-28T00:00:00.000Z,58,36,25
