date,total,n,mean,median,sd,max,comments,ratio,revision
2014-09-19,513.0,187,2.74,3.0,1.02,5,11,2.74,6d9bc1f
2014-09-24,888.0,307,2.89,3.0,0.88,5,11,2.89,115f380
2014-09-29,976.0,335,2.91,3.0,0.87,5,10,2.91,decab30
2014-11-05,1044.0,358,2.92,3.0,0.87,5,11,2.92,9a68e17
2014-12-03,1191.0,398,2.99,3.0,0.96,7,21,2.99,703a6ca
2014-12-16,1278.0,426,3.0,3.0,0.96,7,49,3.0,55029cb
2015-03-31,1588.0,511,3.11,3.0,1.11,8,95,3.11,15aa4e8
2015-04-01,1674.0,524,3.19,3.0,1.28,9,102,3.19,f7457d7
2015-07-07,1756.0,553,3.18,3.0,1.27,9,116,3.18,a48f690
2015-09-14,1891.0,589,3.21,3.0,1.28,9,119,3.21,a404263
2015-10-12,1907.0,593,3.22,3.0,1.27,9,119,3.22,13df72c
2015-10-23,1976.0,609,3.24,3.0,1.26,9,123,3.24,3f74109
2017-09-07,2043.0,626,3.26,3.0,1.25,9,123,3.26,145f35c
2017-09-26,2075.0,634,3.27,3.0,1.25,9,123,3.27,4d341d8
2017-10-03,2043.0,626,3.26,3.0,1.25,9,123,3.26,c7378f0
2017-10-04,2074.0,633,3.28,3.0,1.25,9,123,3.28,c3ac667
2017-11-22,2038.0,624,3.27,3.0,1.26,9,123,3.27,9121fe9
2017-12-04,2036.0,623,3.27,3.0,1.26,9,126,3.27,cc74f8d
2018-01-12,2034.0,622,3.27,3.0,1.26,9,126,3.27,70ae219
2018-01-16,1933.0,584,3.31,3.0,1.26,9,122,3.31,3422ca4
2018-01-17,1934.0,584,3.31,3.0,1.26,9,122,3.31,fbc16ae
