date,total,n,mean,median,sd,max,comments,ratio,revision
2014-11-05,446.0,163,2.74,3.0,1.03,5,53,2.74,9a68e17
2014-11-24,473.0,168,2.82,3.0,1.08,5,53,2.82,475dfea
2014-12-02,725.0,240,3.02,3.0,1.13,5,82,3.02,1d0e650
2014-12-03,888.0,289,3.07,3.0,1.02,5,149,3.07,703a6ca
2015-10-15,908.0,290,3.13,3.0,1.1,5,153,3.13,0ce224f
2015-10-22,908.0,290,3.13,3.0,1.1,5,153,3.13,571778d
2015-10-27,908.0,290,3.13,3.0,1.1,5,153,3.13,b91ba9b
2017-09-27,908.0,290,3.13,3.0,1.1,5,153,3.13,90547fc
2017-11-22,905.0,289,3.13,3.0,1.1,5,164,3.13,9121fe9
2017-12-06,662.0,218,3.04,3.0,1.13,5,111,3.04,f5e0857
2018-01-16,560.0,189,2.96,3.0,1.14,5,84,2.96,3422ca4
