date,total,n,mean,median,sd,max,comments,ratio,revision
2014-06-18,328.0,107,3.07,3.0,1.41,6,9,3.07,0096fcf
2014-08-18,407.0,112,3.63,3.0,3.44,27,9,3.63,ed61d1e
2014-08-21,386.0,107,3.61,3.0,3.51,27,9,3.61,4d130ec
2014-08-22,340.0,110,3.09,3.0,1.4,6,9,3.09,08877d4
2014-09-29,332.0,105,3.16,3.0,1.37,6,11,3.16,6f660b7
2014-11-04,383.0,118,3.25,3.0,1.33,6,10,3.25,bdc8373
2014-11-14,383.0,118,3.25,3.0,1.33,6,12,3.25,e91d7bb
2014-12-07,385.0,120,3.21,3.0,1.35,6,11,3.21,70cc37d
2015-04-05,531.0,152,3.49,4.0,1.36,6,16,3.49,bba9930
2015-06-29,633.0,180,3.52,4.0,1.27,6,38,3.52,8702ef4
2015-09-23,714.0,204,3.5,4.0,1.24,6,53,3.5,9b6d14d
2015-10-15,729.0,209,3.49,4.0,1.24,6,37,3.49,0ce224f
2015-11-18,371.0,122,3.04,3.0,1.13,5,28,3.04,ea9bd9c
2017-02-03,391.0,128,3.05,3.0,1.13,5,29,3.05,1c2ef48
2017-09-07,661.0,178,3.71,4.0,1.64,8,37,3.71,145f35c
2017-10-02,660.0,178,3.71,4.0,1.64,8,37,3.71,fbab4f1
2017-10-03,607.0,171,3.55,4.0,1.45,6,37,3.55,31e3a82
2017-10-03,604.0,169,3.57,4.0,1.44,6,37,3.57,3cf0be1
2017-10-03,391.0,128,3.05,3.0,1.13,5,29,3.05,aae2112
2017-10-04,660.0,178,3.71,4.0,1.64,8,37,3.71,c3ac667
2017-11-22,643.0,185,3.48,4.0,1.44,6,37,3.48,9121fe9
