date,total,n,mean,median,sd,max,comments,ratio,revision
2013-07-02,91.0,41,2.22,2.0,1.04,4,0,2.22,2f9dcb6
2013-07-02,119.0,52,2.29,2.0,1.0,4,0,2.29,1475c49
2013-10-19,119.0,52,2.29,2.0,1.0,4,0,2.29,5e13c93
2013-10-23,119.0,52,2.29,2.0,1.0,4,0,2.29,17ddaa2
2013-12-06,118.0,51,2.31,2.0,0.99,4,0,2.31,b2bab1d
2014-04-28,129.0,55,2.35,2.0,1.0,4,0,2.35,3363041
2014-05-02,128.0,54,2.37,2.0,1.0,4,0,2.37,b9ecf7e
2014-05-13,134.0,57,2.35,2.0,0.97,4,0,2.35,21bd775
2014-05-15,130.0,59,2.2,2.0,0.96,4,0,2.2,a8082eb
2014-09-04,132.0,61,2.16,2.0,0.97,4,0,2.16,9a9c1fc
2014-09-30,139.0,65,2.14,2.0,0.95,4,1,2.14,123797f
2014-09-30,140.0,64,2.19,2.0,0.99,4,1,2.19,9412baa
2015-05-27,140.0,66,2.12,2.0,0.95,4,0,2.12,7d9f16e
2015-10-15,137.0,64,2.14,2.0,0.96,4,0,2.14,0ce224f
2015-10-22,115.0,55,2.09,2.0,0.95,4,0,2.09,571778d
2015-10-27,115.0,55,2.09,2.0,0.95,4,0,2.09,b91ba9b
2017-08-04,124.0,59,2.1,2.0,0.92,4,0,2.1,efd502a
2017-09-26,124.0,59,2.1,2.0,0.92,4,0,2.1,4d341d8
2017-10-03,115.0,55,2.09,2.0,0.95,4,0,2.09,aae2112
