date,total,n,mean,median,sd,max,comments,ratio,revision
2014-06-18,606.0,220,2.75,3.0,1.16,6,31,2.75,0096fcf
2014-09-18,642.0,235,2.73,3.0,1.13,6,38,2.73,a3b2dd6
2014-09-19,718.0,254,2.83,3.0,1.22,7,39,2.83,6d9bc1f
2014-09-26,743.0,263,2.83,3.0,1.21,7,40,2.83,4e2720e
2014-09-30,906.0,311,2.91,3.0,1.23,7,43,2.91,123797f
2014-11-04,799.0,272,2.94,3.0,1.17,6,31,2.94,0c71a13
2014-11-05,1020.0,345,2.96,3.0,1.18,7,42,2.96,d649e78
2014-11-24,1204.0,390,3.09,3.0,1.32,8,61,3.09,e110023
2014-12-03,1204.0,390,3.09,3.0,1.32,8,63,3.09,c9e2801
2014-12-09,1294.25,399,3.24,3.0,1.6,9,96,3.24,4523980
2015-06-29,1376.25,419,3.28,3.0,1.58,9,98,3.28,8702ef4
2015-09-23,1397.25,423,3.3,3.0,1.55,9,98,3.3,9b6d14d
2015-10-15,1317.75,421,3.13,3.0,1.33,7,151,3.13,0ce224f
2015-10-27,1109.75,350,3.17,3.0,1.4,7,178,3.17,b91ba9b
2015-11-18,1134.75,354,3.21,3.0,1.41,7,178,3.21,c1363d3
2017-08-24,1226.0,368,3.33,3.0,1.36,7,130,3.33,f0c9a89
2017-09-20,1226.0,368,3.33,3.0,1.36,7,131,3.33,56e8726
2017-10-02,1243.0,365,3.41,3.0,1.35,9,135,3.41,fbab4f1
2017-10-03,1226.0,368,3.33,3.0,1.36,7,130,3.33,14d49c8
2017-10-03,1241.0,372,3.34,3.0,1.36,7,131,3.34,5f92195
2017-10-03,1149.0,350,3.28,3.0,1.35,7,131,3.28,aa5bfe4
2017-10-03,1139.75,355,3.21,3.0,1.41,7,178,3.21,aae2112
2017-10-04,1248.0,366,3.41,3.0,1.35,9,135,3.41,c3ac667
2018-01-16,1038.0,321,3.23,3.0,1.25,9,123,3.23,3422ca4
