date,total,n,mean,median,sd,max,comments,ratio,revision
2014-09-04,299.0,128,2.34,3.0,1.1,5,3,2.34,a9a59d6
2014-09-04,569.0,213,2.67,3.0,1.02,5,3,2.67,6d9f618
2014-09-05,574.0,220,2.61,3.0,1.01,5,3,2.61,45f7af3
2014-09-18,597.0,226,2.64,3.0,1.01,5,3,2.64,b8ea4fb
2014-09-18,508.0,185,2.75,3.0,0.93,5,3,2.75,6d8873b
2014-09-19,993.0,355,2.8,3.0,0.87,5,3,2.8,567be30
2014-09-23,993.0,355,2.8,3.0,0.87,5,3,2.8,15c9e02
2014-09-24,1192.0,425,2.8,3.0,0.83,5,3,2.8,97713c7
2014-09-24,310.0,123,2.52,3.0,0.92,4,3,2.52,837d97c
2014-09-26,390.0,151,2.58,3.0,0.75,4,3,2.58,95f2a28
2014-11-05,414.0,159,2.6,3.0,0.74,4,3,2.6,9a68e17
2014-12-16,585.5,219,2.67,3.0,0.71,4,7,2.67,55029cb
2015-04-01,588.5,220,2.68,3.0,0.71,4,7,2.68,f7457d7
2015-09-23,704.5,255,2.76,3.0,0.78,5,10,2.76,9b6d14d
2015-10-15,744.0,255,2.92,3.0,0.99,5,12,2.92,0ce224f
2018-01-15,843.0,281,3.0,3.0,1.06,5,12,3.0,76ada34
2018-01-17,843.0,281,3.0,3.0,1.06,5,12,3.0,fbc16ae
2018-01-17,843.0,281,3.0,3.0,1.06,5,12,3.0,8ceacf4
