date,total,n,mean,median,sd,max,comments,ratio,revision
2014-05-13,11.0,7,1.57,1.0,0.79,3,9,1.57,21bd775
2014-05-15,11.0,7,1.57,1.0,0.79,3,9,1.57,a8082eb
2014-09-18,11.0,7,1.57,1.0,0.79,3,9,1.57,a3b2dd6
2014-09-18,13.0,8,1.63,1.5,0.74,3,9,1.63,0040081
2014-11-05,13.0,8,1.63,1.5,0.74,3,9,1.63,9a68e17
2014-11-24,15.0,9,1.67,2.0,0.71,3,9,1.67,e110023
2014-12-03,19.0,11,1.73,2.0,0.65,3,9,1.73,703a6ca
2014-12-03,15.0,9,1.67,2.0,0.71,3,9,1.67,c9e2801
2015-10-15,19.0,11,1.73,2.0,0.65,3,0,1.73,0ce224f
2015-10-27,19.0,11,1.73,2.0,0.65,3,23,1.73,b91ba9b
2018-01-16,17.0,10,1.7,2.0,0.67,3,19,1.7,3422ca4
