date,total,n,mean,median,sd,max,comments,ratio,revision
2015-01-27,73.0,32,2.28,2.0,1.11,4,9,2.28,da8b510
2015-01-28,87.0,37,2.35,2.0,1.21,5,9,2.35,1657040
2015-03-05,144.0,54,2.67,3.0,1.23,4,23,2.67,6050417
2015-03-06,146.0,53,2.75,3.0,1.21,4,23,2.75,b3bfd2d
2015-06-29,160.5,59,2.72,3.0,1.17,4,26,2.72,ea943f3
2015-07-12,161.5,60,2.69,3.0,1.18,4,29,2.69,9b4e052
2015-10-15,161.0,60,2.68,3.0,1.19,4,20,2.68,0ce224f
2015-10-22,154.0,58,2.66,3.0,1.22,4,20,2.66,571778d
2015-10-27,154.0,58,2.66,3.0,1.22,4,40,2.66,b91ba9b
2017-08-04,150.0,56,2.68,3.0,1.22,4,39,2.68,efd502a
2017-09-26,150.0,56,2.68,3.0,1.22,4,39,2.68,4d341d8
2017-10-03,154.0,58,2.66,3.0,1.22,4,40,2.66,aae2112
2017-10-04,149.0,55,2.71,3.0,1.21,4,39,2.71,c3ac667
