date,total,n,mean,median,sd,max,comments,ratio,revision
2014-06-18,256.0,91,2.81,3.0,1.34,6,9,2.81,0096fcf
2014-09-18,263.0,93,2.83,3.0,1.33,6,9,2.83,b8ea4fb
2014-09-29,269.0,99,2.72,3.0,1.36,6,10,2.72,6f660b7
2014-11-04,250.0,88,2.84,3.0,1.36,6,9,2.84,efff1b1
2014-11-04,287.0,97,2.96,3.0,1.35,6,9,2.96,bdc8373
2014-11-05,287.0,97,2.96,3.0,1.35,6,10,2.96,9a68e17
2014-12-07,292.0,100,2.92,3.0,1.36,6,10,2.92,70cc37d
2015-01-27,296.0,101,2.93,3.0,1.36,6,10,2.93,0135c4b
2015-03-06,298.0,100,2.98,3.0,1.34,6,14,2.98,b3bfd2d
2015-04-05,344.0,111,3.1,3.0,1.35,6,22,3.1,bba9930
2015-06-29,607.0,174,3.49,4.0,1.31,6,43,3.49,79f125e
2015-07-07,614.0,176,3.49,4.0,1.31,6,43,3.49,a48f690
2015-09-11,624.0,178,3.51,4.0,1.3,6,43,3.51,f93843a
2015-10-15,628.0,179,3.51,4.0,1.29,6,34,3.51,0ce224f
2015-10-27,435.0,138,3.15,3.0,1.25,6,38,3.15,b91ba9b
2016-06-08,458.0,144,3.18,3.0,1.26,6,40,3.18,52a9d2d
2017-03-01,463.0,146,3.17,3.0,1.24,6,39,3.17,8f5d063
2017-08-04,607.0,183,3.32,3.0,1.41,7,42,3.32,efd502a
2017-09-07,645.0,191,3.38,3.0,1.49,7,43,3.38,145f35c
2017-09-26,644.0,190,3.39,3.0,1.48,7,43,3.39,0621c68
2017-10-03,610.0,185,3.3,3.0,1.42,7,42,3.3,31e3a82
2017-10-03,607.0,183,3.32,3.0,1.41,7,42,3.32,3cf0be1
2017-10-03,463.0,146,3.17,3.0,1.24,6,39,3.17,aae2112
2017-10-04,643.0,189,3.4,3.0,1.48,7,43,3.4,c3ac667
2017-11-22,630.0,194,3.25,3.0,1.32,7,41,3.25,9121fe9
