date,total,n,mean,median,sd,max,comments,ratio,revision
2014-09-24,521.0,200,2.61,3.0,0.98,5,3,2.61,61167cc
2014-09-24,594.0,226,2.63,3.0,0.96,5,3,2.63,3c42535
2014-09-29,518.0,202,2.56,3.0,1.0,5,3,2.56,decab30
2014-09-29,541.0,211,2.56,3.0,0.99,5,3,2.56,7efffaa
2014-09-29,587.0,226,2.6,3.0,0.97,5,7,2.6,6b7edb2
2014-09-29,581.0,220,2.64,3.0,0.94,5,8,2.64,686e067
2014-10-03,581.0,220,2.64,3.0,0.94,5,8,2.64,75da0ea
2014-11-04,578.0,219,2.64,3.0,0.94,5,8,2.64,d57f720
2014-11-10,587.0,224,2.62,3.0,0.94,5,8,2.62,45fcae0
2014-12-03,580.0,223,2.6,3.0,0.96,5,11,2.6,703a6ca
2015-10-15,591.0,226,2.62,3.0,0.95,5,14,2.62,0ce224f
2015-10-27,591.0,226,2.62,3.0,0.95,5,14,2.62,b91ba9b
2017-10-04,590.0,225,2.62,3.0,0.94,5,14,2.62,c3ac667
2017-12-04,588.0,225,2.61,3.0,0.95,5,14,2.61,cc74f8d
2018-01-17,588.0,225,2.61,3.0,0.95,5,14,2.61,fbc16ae
