date,total,n,mean,median,sd,max,comments,ratio,revision
2014-09-04,299.0,128,2.34,3.0,1.1,5,3,2.34,a9a59d6
2014-09-04,569.0,213,2.67,3.0,1.02,5,3,2.67,6d9f618
2014-09-05,537.0,208,2.58,3.0,1.0,5,3,2.58,45f7af3
2014-09-18,557.0,211,2.64,3.0,1.0,5,3,2.64,b8ea4fb
2014-09-18,485.0,180,2.69,3.0,0.93,5,3,2.69,6d8873b
2014-09-18,528.0,198,2.67,3.0,0.92,5,4,2.67,0040081
2014-09-19,210.0,91,2.31,3.0,0.94,4,3,2.31,6d9bc1f
2014-09-24,632.0,242,2.61,3.0,0.96,5,3,2.61,97713c7
2014-09-29,218.0,90,2.42,3.0,0.81,4,3,2.42,decab30
2014-11-04,230.0,94,2.45,3.0,0.8,4,3,2.45,d57f720
2014-12-03,221.0,91,2.43,3.0,0.8,4,96,2.43,703a6ca
2015-01-27,360.0,140,2.57,3.0,0.81,4,121,2.57,052bc26
2015-04-01,260.5,107,2.43,3.0,0.85,4,97,2.43,f7457d7
2015-10-12,257.5,104,2.48,3.0,0.82,4,97,2.48,9f1778a
2015-10-15,273.0,104,2.63,3.0,1.05,5,100,2.63,0ce224f
2018-01-15,369.0,129,2.86,3.0,1.23,5,100,2.86,76ada34
2018-01-17,369.0,129,2.86,3.0,1.23,5,100,2.86,fbc16ae
2018-01-17,369.0,129,2.86,3.0,1.23,5,100,2.86,8ceacf4
