date,total,n,mean,median,sd,max,comments,ratio,revision
2013-12-06,3.0,3,1.0,1.0,0.0,1,0,1.0,b2bab1d
2014-04-28,11.0,7,1.57,1.0,0.79,3,0,1.57,3363041
2014-05-02,10.0,6,1.67,1.5,0.82,3,0,1.67,b9ecf7e
2014-05-13,20.0,13,1.54,1.0,0.66,3,0,1.54,21bd775
2014-05-15,20.0,13,1.54,1.0,0.66,3,0,1.54,a8082eb
2014-09-04,22.0,15,1.47,1.0,0.64,3,0,1.47,9a9c1fc
2014-09-30,29.0,19,1.53,1.0,0.61,3,1,1.53,123797f
2015-10-15,29.0,19,1.53,1.0,0.61,3,0,1.53,0ce224f
2015-10-27,29.0,19,1.53,1.0,0.61,3,0,1.53,b91ba9b
2017-08-04,38.0,23,1.65,2.0,0.65,3,0,1.65,efd502a
2017-09-26,38.0,23,1.65,2.0,0.65,3,0,1.65,4d341d8
2017-10-03,29.0,19,1.53,1.0,0.61,3,0,1.53,aae2112
