date,total,n,mean,median,sd,max,comments,ratio,revision
2015-10-12,126.0,52,2.42,2.5,1.26,4,3,2.42,9f1778a
2015-10-15,126.0,52,2.42,2.5,1.26,4,3,2.42,0ce224f
2015-10-22,260.0,93,2.8,3.0,1.16,4,36,2.8,571778d
2015-10-22,248.0,86,2.88,3.0,1.14,4,36,2.88,019c19b
2015-10-22,238.0,84,2.83,3.0,1.19,4,36,2.83,e8ed19c
2015-10-27,300.0,101,2.97,3.0,1.24,6,46,2.97,b91ba9b
2015-11-18,299.0,100,2.99,3.0,1.23,6,46,2.99,ea9bd9c
2017-08-04,340.0,106,3.21,3.0,1.43,7,42,3.21,efd502a
2017-08-28,340.0,106,3.21,3.0,1.43,7,46,3.21,f4d28b9
2017-09-26,340.0,106,3.21,3.0,1.43,7,46,3.21,4d341d8
2017-10-03,340.0,106,3.21,3.0,1.43,7,42,3.21,14d49c8
2017-10-03,299.0,100,2.99,3.0,1.23,6,46,2.99,aae2112
2017-10-04,339.0,105,3.23,3.0,1.42,7,46,3.23,c3ac667
