date,total,n,mean,median,sd,max,comments,ratio,revision
2013-06-30,33.0,18,1.83,2.0,0.79,3,1,1.83,a786c18
2013-06-30,26.0,15,1.73,2.0,0.8,3,1,1.73,a5c0228
2013-07-01,25.0,14,1.79,2.0,0.8,3,1,1.79,f5dd016
2013-07-01,16.0,10,1.6,1.0,0.84,3,0,1.6,c96da1d
2013-07-26,17.0,11,1.55,1.0,0.82,3,0,1.55,93f23f7
2013-10-23,17.0,11,1.55,1.0,0.82,3,0,1.55,17ddaa2
2014-04-15,16.0,11,1.45,1.0,0.69,3,0,1.45,47b817d
2014-11-04,33.0,16,2.06,2.0,1.24,5,0,2.06,0c71a13
2014-11-04,16.0,11,1.45,1.0,0.69,3,0,1.45,bdc8373
2015-10-15,16.0,11,1.45,1.0,0.69,3,0,1.45,0ce224f
2015-10-22,16.0,11,1.45,1.0,0.69,3,0,1.45,571778d
2015-10-27,16.0,11,1.45,1.0,0.69,3,7,1.45,b91ba9b
