date,total,n,mean,median,sd,max,comments,ratio,revision
2013-06-29,42.0,21,2.0,2.0,0.95,4,0,2.0,7219138
2013-07-01,44.0,23,1.91,2.0,0.95,4,0,1.91,d3ac640
2013-07-01,153.0,60,2.55,2.0,1.28,5,40,2.55,891178b
2013-07-02,161.0,62,2.6,2.0,1.29,5,38,2.6,7f60ede
2013-09-08,252.0,98,2.57,2.0,1.22,5,39,2.57,5835a7e
2014-04-23,233.0,91,2.56,2.0,1.19,5,40,2.56,626d89d
2014-04-24,279.75,108,2.59,2.0,1.14,5,46,2.59,b628988
2014-05-09,313.75,116,2.7,2.0,1.31,6,61,2.7,bb68788
2014-05-15,234.75,100,2.35,2.0,1.15,5,58,2.35,1937f11
2014-08-18,212.75,99,2.15,2.0,0.91,4,58,2.15,dce9194
2014-08-20,218.75,100,2.19,2.0,0.99,6,59,2.19,1b4bba9
2014-09-30,238.75,110,2.17,2.0,0.96,6,74,2.17,58d4650
2014-11-04,353.75,139,2.54,3.0,1.11,6,59,2.54,0c71a13
2014-11-05,220.75,104,2.12,2.0,0.83,4,60,2.12,9a68e17
2015-05-27,229.0,106,2.16,2.0,0.81,4,66,2.16,7d9f16e
2015-10-12,224.75,105,2.14,2.0,0.81,4,60,2.14,e24b770
2015-10-27,151.0,77,1.96,2.0,0.79,4,123,1.96,b91ba9b
2017-08-28,271.0,99,2.74,3.0,1.19,6,122,2.74,f4d28b9
2017-09-26,271.0,99,2.74,3.0,1.19,6,122,2.74,4d341d8
2017-10-02,271.0,99,2.74,3.0,1.19,6,122,2.74,fbab4f1
2017-10-03,271.0,99,2.74,3.0,1.19,6,121,2.74,14d49c8
2017-10-03,271.0,99,2.74,3.0,1.19,6,121,2.74,5f92195
2017-10-03,151.0,77,1.96,2.0,0.79,4,123,1.96,aae2112
