date,total,n,mean,median,sd,max,comments,ratio,revision
2014-09-19,286.0,117,2.44,3.0,0.94,4,12,2.44,6d9bc1f
2014-09-24,356.0,141,2.52,3.0,0.89,4,13,2.52,f085eb2
2014-09-25,446.0,171,2.61,3.0,0.85,4,22,2.61,a5dfb7e
2014-11-04,461.0,176,2.62,3.0,0.84,4,22,2.62,d57f720
2014-11-05,533.0,203,2.63,3.0,0.8,4,30,2.63,d649e78
2014-11-05,489.0,186,2.63,3.0,0.81,4,29,2.63,9a68e17
2014-11-24,598.0,217,2.76,3.0,0.94,7,34,2.76,22965d9
2014-11-24,637.0,231,2.76,3.0,0.94,7,35,2.76,f7ce714
2014-11-24,662.0,232,2.85,3.0,1.03,7,34,2.85,475dfea
2014-12-03,615.0,216,2.85,3.0,1.01,7,135,2.85,703a6ca
2014-12-03,662.0,232,2.85,3.0,1.03,7,39,2.85,2a5bdc6
2014-12-16,591.0,208,2.84,3.0,1.03,7,135,2.84,55029cb
2015-10-15,594.0,205,2.9,3.0,1.1,7,134,2.9,0ce224f
2017-09-26,594.0,205,2.9,3.0,1.1,7,134,2.9,0621c68
2017-11-22,564.0,197,2.86,3.0,1.09,7,132,2.86,9121fe9
2018-01-11,560.0,193,2.9,3.0,1.07,7,132,2.9,2562658
