date,total,n,mean,median,sd,max,comments,ratio,revision
2013-02-25,74.0,41,1.8,2.0,0.93,4,21,1.8,19c8406
2013-03-03,99.0,50,1.98,2.0,1.04,5,21,1.98,60b2786
2013-03-13,99.0,50,1.98,2.0,1.04,5,21,1.98,71d5c23
2013-04-02,354.0,131,2.7,3.0,1.37,6,51,2.7,154159b
2013-04-20,475.0,165,2.88,3.0,1.36,6,53,2.88,3d43b5b
2013-04-24,387.0,138,2.8,3.0,1.56,8,42,2.8,aa182d5
2013-05-06,387.0,136,2.85,3.0,1.54,8,54,2.85,59d07d6
2013-05-19,406.0,141,2.88,3.0,1.54,8,45,2.88,60bc243
2013-06-05,386.0,138,2.8,3.0,1.52,8,45,2.8,17030ec
2013-07-02,77.0,38,2.03,2.0,0.91,4,13,2.03,ebcca37
2013-12-02,122.0,52,2.35,2.0,1.06,4,15,2.35,155f070
2014-05-20,131.0,55,2.38,2.0,1.1,4,14,2.38,5eb352a
2015-06-29,151.0,62,2.44,2.5,1.08,4,18,2.44,79f125e
2015-10-23,169.0,70,2.41,2.0,1.15,4,15,2.41,80d066a
2017-08-24,530.75,156,3.4,3.0,1.55,6,50,3.4,f0c9a89
2017-09-20,530.5,157,3.38,3.0,1.56,6,50,3.38,a7c5561
2017-10-03,530.5,157,3.38,3.0,1.56,6,50,3.38,870db97
2017-10-03,416.0,123,3.38,3.0,1.61,6,41,3.38,aa5bfe4
2017-10-12,543.0,165,3.29,3.0,1.61,6,42,3.29,1122c8a
2018-01-12,353.0,127,2.78,3.0,1.37,6,37,2.78,73e868c
2018-01-16,360.0,130,2.77,3.0,1.36,6,37,2.77,fc1ad82
2018-01-17,370.0,133,2.78,3.0,1.35,6,43,2.78,2bcc765
2018-01-17,381.0,135,2.82,3.0,1.38,6,43,2.82,428067f
2018-01-17,392.0,137,2.86,3.0,1.41,6,43,2.86,9a3be83
2018-01-17,392.0,137,2.86,3.0,1.41,6,43,2.86,8ceacf4
