date,total,n,mean,median,sd,max,comments,ratio,revision
2017-08-04,374.0,132,2.83,3.0,1.51,7,19,2.83,efd502a
2017-08-14,374.0,132,2.83,3.0,1.51,7,19,2.83,90ffaf8
2017-08-24,443.0,147,3.01,3.0,1.5,7,20,3.01,f0c9a89
2017-08-31,460.0,155,2.97,3.0,1.48,7,20,2.97,c629528
2017-09-20,454.0,149,3.05,3.0,1.46,7,20,3.05,40099cf
2017-09-20,454.0,149,3.05,3.0,1.46,7,20,3.05,1f04565
2017-09-20,460.0,155,2.97,3.0,1.48,7,20,2.97,56e8726
2017-09-26,460.0,155,2.97,3.0,1.48,7,20,2.97,4d341d8
2017-09-26,454.0,149,3.05,3.0,1.46,7,20,3.05,0621c68
2017-09-28,454.0,149,3.05,3.0,1.46,7,20,3.05,5be983b
2017-09-29,416.0,151,2.75,3.0,1.24,6,20,2.75,d8be0fd
2017-10-02,416.0,151,2.75,3.0,1.24,6,20,2.75,fbab4f1
2017-10-03,460.0,155,2.97,3.0,1.48,7,20,2.97,870db97
2017-10-03,443.0,147,3.01,3.0,1.5,7,20,3.01,3cf0be1
2017-10-03,374.0,132,2.83,3.0,1.51,7,19,2.83,5f92195
2017-10-03,374.0,132,2.83,3.0,1.51,7,19,2.83,aa5bfe4
2017-10-04,412.0,150,2.75,3.0,1.24,6,20,2.75,893ef0d
2017-10-12,413.0,151,2.74,3.0,1.25,6,20,2.74,462a2fa
2017-11-22,380.0,143,2.66,3.0,1.23,6,19,2.66,9121fe9
2018-01-17,380.0,143,2.66,3.0,1.23,6,19,2.66,8ceacf4
