date,total,n,mean,median,sd,max,comments,ratio,revision
2014-05-02,34.0,23,1.48,1.0,0.67,3,5,1.48,b9ecf7e
2014-05-15,34.0,23,1.48,1.0,0.67,3,5,1.48,a8082eb
2014-11-04,52.0,29,1.79,2.0,0.9,4,5,1.79,0c71a13
2014-11-04,49.0,29,1.69,1.0,0.81,3,5,1.69,bdc8373
2014-12-03,50.0,30,1.67,1.0,0.8,3,5,1.67,703a6ca
2015-05-27,76.0,39,1.95,2.0,0.89,3,1,1.95,7d9f16e
2015-10-12,45.0,27,1.67,1.0,0.83,3,5,1.67,9f1778a
2015-10-15,47.0,28,1.68,1.0,0.82,3,0,1.68,0ce224f
2015-10-22,32.0,22,1.45,1.0,0.67,3,0,1.45,571778d
2015-10-27,32.0,22,1.45,1.0,0.67,3,20,1.45,b91ba9b
2017-08-04,27.0,17,1.59,1.0,0.71,3,20,1.59,efd502a
2017-08-28,27.0,17,1.59,1.0,0.71,3,21,1.59,f4d28b9
2017-09-26,27.0,17,1.59,1.0,0.71,3,21,1.59,4d341d8
2017-10-02,27.0,17,1.59,1.0,0.71,3,21,1.59,fbab4f1
2017-10-03,27.0,17,1.59,1.0,0.71,3,20,1.59,14d49c8
2017-10-03,32.0,22,1.45,1.0,0.67,3,20,1.45,aae2112
