rev,date,author,files,subsystems,addedcode,repository
e36eeb5,2018-01-19,Praqma Service User,1,0,4,pretested-integration-plugin
4fa13db,2018-01-19,Praqma Service User,1,0,105,pretested-integration-plugin
3e5c7fb,2018-01-19,Praqma Service User,1,0,1,pretested-integration-plugin
635f178,2018-01-18,Praqma Service User,2,0,12,pretested-integration-plugin
fbc16ae,2018-01-17,Mads Nielsen,13,0,56,pretested-integration-plugin
be2f0c3,2018-01-17,Mads Nielsen,1,0,11,pretested-integration-plugin
9a3be83,2018-01-17,Mads Nielsen,1,0,2,pretested-integration-plugin
428067f,2018-01-17,Mads Nielsen,1,0,2,pretested-integration-plugin
2bcc765,2018-01-17,Mads Nielsen,1,0,10,pretested-integration-plugin
fc1ad82,2018-01-16,Mads Nielsen,2,0,7,pretested-integration-plugin
6774d1d,2018-01-16,Bue Petersen,1,0,206,pretested-integration-plugin
3422ca4,2018-01-16,Mads Nielsen,4,0,19,pretested-integration-plugin
e65633e,2018-01-15,Mads Nielsen,2,0,121,pretested-integration-plugin
76ada34,2018-01-15,Mads Nielsen,2,0,58,pretested-integration-plugin
73e868c,2018-01-12,Mads Nielsen,1,0,1,pretested-integration-plugin
70ae219,2018-01-12,Mads Nielsen,3,0,124,pretested-integration-plugin
573c6b8,2018-01-11,Mads Nielsen,1,0,10,pretested-integration-plugin
2dd79ff,2018-01-11,Mads Nielsen,1,0,92,pretested-integration-plugin
2562658,2018-01-11,Mads Nielsen,3,0,71,pretested-integration-plugin
1baf81e,2017-12-20,Claus Schneider (Praqma),1,0,5,pretested-integration-plugin
f5e0857,2017-12-06,Simon Grønborg,1,0,0,pretested-integration-plugin
efd4a4b,2017-12-04,Simon Grønborg,2,0,9,pretested-integration-plugin
cc74f8d,2017-12-04,Simon Grønborg,3,0,11,pretested-integration-plugin
7fc0484,2017-12-04,Simon Grønborg,1,0,5,pretested-integration-plugin
9121fe9,2017-11-22,Simon Grønborg,8,0,139,pretested-integration-plugin
8090a45,2017-10-12,Simon Groenborg,1,0,0,pretested-integration-plugin
462a2fa,2017-10-12,Simon Groenborg,2,0,6,pretested-integration-plugin
1122c8a,2017-10-12,Simon Groenborg,1,0,1,pretested-integration-plugin
c3ac667,2017-10-04,Mads Nielsen,11,0,73,pretested-integration-plugin
b5c3c69,2017-10-04,Simon Groenborg,1,0,1,pretested-integration-plugin
893ef0d,2017-10-04,Simon Groenborg,2,0,1,pretested-integration-plugin
fb603fd,2017-10-03,Simon Groenborg,3,0,19,pretested-integration-plugin
c7378f0,2017-10-03,Simon Groenborg,2,0,4,pretested-integration-plugin
aae2112,2017-10-03,Simon Groenborg,23,0,514,pretested-integration-plugin
aa5bfe4,2017-10-03,Simon Groenborg,3,0,6,pretested-integration-plugin
870db97,2017-10-03,Simon Groenborg,3,0,8,pretested-integration-plugin
5f92195,2017-10-03,Simon Groenborg,5,0,57,pretested-integration-plugin
3cf0be1,2017-10-03,Simon Groenborg,4,0,2,pretested-integration-plugin
31e3a82,2017-10-03,Simon Groenborg,6,0,4,pretested-integration-plugin
14d49c8,2017-10-03,Simon Groenborg,8,0,42,pretested-integration-plugin
fbab4f1,2017-10-02,Simon Groenborg,7,0,101,pretested-integration-plugin
f6e31b4,2017-09-29,Simon Groenborg,1,0,23,pretested-integration-plugin
d8be0fd,2017-09-29,Simon Groenborg,3,0,79,pretested-integration-plugin
76111f2,2017-09-29,Simon Groenborg,3,0,18,pretested-integration-plugin
