entity,added,deleted,net,revisions
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/GitBridge.java,2236,1746,490,58
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/AccumulatedCommitMessageIT.java,1649,142,1507,6
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationBuildWrapper.java,1468,1504,-36,107
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationPostCheckout.java,1068,874,194,86
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/TestUtilsFactory.java,1065,377,688,35
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/SquashCommitStrategyIT.java,995,407,588,29
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/AbstractSCMBridge.java,942,713,229,57
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/SquashCommitStrategy.java,926,669,257,51
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/AccumulatedCommitStrategy.java,846,578,268,44
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/CommitMessagesWithSpecialCharsIT.java,802,212,590,8
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/AccumulatedCommitStrategyIT.java,734,446,288,26
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scminterface/mercurial/HgUtils.java,722,735,-13,20
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/mercurial/MercurialBridge.java,714,715,-1,37
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/JENKINS_24754_IT.java,677,343,334,11
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationPreCheckoutTest.java,649,648,1,15
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/scm/mercurial/MercurialIntegrationTest.java,631,632,-1,23
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/MultipleScm_threeRepos_IT.java,609,613,-4,13
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/GeneralBehaviourIT.java,599,212,387,16
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/scm/mercurial/MercurialTest.java,573,573,0,12
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/unit/PretestedIntegrationTestCase.java,544,545,-1,13
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/PretestedIntegrationAsGitPluginExt.java,485,291,194,21
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scminterface/mercurial/PretestedIntegrationSCMMercurial.java,479,478,1,27
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/TwoBranchHeadsIT.java,449,139,310,15
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/GitIntegrationStrategy.java,414,250,164,13
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/scm/mercurial/MercurialIT.java,393,393,0,8
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/HgUtils.java,376,376,0,2
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/JENKINS_25546_IT.java,336,332,4,8
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/CustomIntegrationBranchIT.java,334,66,268,6
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/PretestedIntegrationGitUtils.java,300,157,143,7
pretested-integration-plugin/src/test/resources/commitMessagesWithDoubleQuotesSingleQuotesMade_windows-repo_description.log,259,0,259,1
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestcommit/PretestCommitStatus.java,237,234,3,3
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationAction.java,235,234,1,21
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/GitProjectBuilder.java,235,235,0,9
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/GitSubmoduleInteractionIT.java,210,4,206,2
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/unit/scm/git/GitUtilsTest.java,206,191,15,7
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/credentials/CredentialsTest.java,205,0,205,1
pretested-integration-plugin/src/test/resources/customIntegrationBranch-repo_description.log,203,0,203,1
pretested-integration-plugin/resources/HelloWorldBuilder.java,198,198,0,12
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationHgUtilsTest.java,195,195,0,6
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/MultipleScmIT.java,189,184,5,5
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/UseAuthorOfLastCommitIT.java,182,3,179,3
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestcommit/HelloWorldBuilder.java,182,182,0,2
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/BuildResultValidator.java,181,23,158,8
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/IntegrationBranchNameRestrictions_IT.java,179,6,173,8
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/GetAllCommitsFromBranchCallback.java,178,66,112,13
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/MatrixProjectCompatibilityTestIT.java,178,46,132,5
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/FastForwardSingleCommitsIT.java,175,15,160,4
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/StaticGitRepositoryTestBase.java,175,26,149,8
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/unit/PretestedIntegrationActionTest.java,170,170,0,18
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/PipAsGitExtensionIT.java,161,28,133,9
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/mercurial/MercurialComparator.java,155,156,-1,14
pretested-integration-plugin/src/test/resources/commitMessagesWithDoubleQuotes_windows.bat.log,147,0,147,1
