entity,author,author-added,added-ownership,author-deleted,deleted-ownership
pretested-integration-plugin/check_for_changelog.rb,Bue Petersen,120,1.0,9,1.0
pretested-integration-plugin/ci/seed.groovy,Praqma Service User,110,1.0,11,1.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/AbstractSCMBridge.java,Andrius Ordojan,55,0.07649513,3,0.0066815144
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/AbstractSCMBridge.java,Bue Petersen,1,0.0013908206,1,0.0022271716
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/AbstractSCMBridge.java,Claus Schneider(Praqma),101,0.14047287,75,0.16703786
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/AbstractSCMBridge.java,Ronni Elken Lindsgaard,202,0.28094575,45,0.100222714
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/AbstractSCMBridge.java,Simon Groenborg,171,0.23783033,171,0.38084632
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/AbstractSCMBridge.java,Thierry Lacour,189,0.2628651,154,0.3429844
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/IntegrationStrategy.java,Andrius Ordojan,7,0.11290322,0,0.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/IntegrationStrategy.java,Claus Schneider(Praqma),8,0.12903225,12,0.1764706
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/IntegrationStrategy.java,Simon Groenborg,22,0.3548387,22,0.32352942
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/IntegrationStrategy.java,Thierry Lacour,25,0.4032258,34,0.5
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/IntegrationStrategyDescriptor.java,Andrius Ordojan,6,0.20689656,0,0.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/IntegrationStrategyDescriptor.java,Simon Groenborg,10,0.3448276,4,0.23529412
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/IntegrationStrategyDescriptor.java,Thierry Lacour,13,0.44827586,13,0.7647059
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationJobDslExtension.java,Claus Schneider(Praqma),4,0.033898305,1,0.030303031
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationJobDslExtension.java,Simon Groenborg,10,0.084745765,8,0.24242425
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationJobDslExtension.java,Thierry Lacour,104,0.88135594,24,0.72727275
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationPostCheckout.java,Alexander Uldall,71,0.07489452,41,0.056944445
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationPostCheckout.java,Andreas Frisch,255,0.26898733,10,0.013888889
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationPostCheckout.java,Andrius Ordojan,18,0.01898734,1,0.0013888889
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationPostCheckout.java,Bue Petersen,10,0.010548524,10,0.013888889
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationPostCheckout.java,Claus Schneider (Praqma),5,0.005274262,0,0.0
