entity,author,ownership,color,w,h,x,y
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/GetCommitCountFromBranchCallback.java,_unassigned_,1.0,black,150.0,150.0,0.0,0.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/GetCommitCountFromBranchCallbackIT.java,_unassigned_,1.0,black,150.0,150.0,0.0,0.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/IntegrationStrategyDescriptor.java,_unassigned_,1.0,black,150.0,150.0,0.0,0.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/MatrixProjectCompatibilityTestIT.java,_unassigned_,1.0,black,150.0,150.0,0.0,0.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/exceptions/CommitFailedException.java,_unassigned_,1.0,black,150.0,150.0,0.0,0.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/TestUtilsFactory.java,_unassigned_,1.0,black,150.0,150.0,0.0,0.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/integration/scm/git/GitSubmoduleInteractionIT.java,_unassigned_,1.0,black,150.0,150.0,0.0,0.0
pretested-integration-plugin/src/test/java/org/jenkinsci/plugins/pretestedintegration/unit/DummySCM.java,_unassigned_,1.0,black,150.0,150.0,0.0,0.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/PretestedIntegrationJobDslExtension.java,_unassigned_,1.0,black,150.0,150.0,0.0,0.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/RepositoryListenerAwareCallback.java,_unassigned_,1.0,black,150.0,150.0,0.0,0.0
pretested-integration-plugin/src/main/java/org/jenkinsci/plugins/pretestedintegration/scm/git/PretestTriggerCommitAction.java,_unassigned_,1.0,black,150.0,150.0,0.0,0.0
