date,revisions,authors
2013-02-13,1,1
2013-02-18,1,1
2013-02-20,1,1
2013-02-23,2,1
2013-02-25,1,1
2013-02-27,6,2
2013-03-03,4,2
2013-03-13,5,3
2013-03-16,3,2
2013-03-28,4,3
2013-04-01,1,1
2013-04-02,3,2
2013-04-13,9,3
2013-04-15,1,1
2013-04-20,1,1
2013-04-22,1,1
2013-04-24,7,3
2013-04-26,3,2
2013-04-28,4,3
2013-05-01,1,1
2013-05-04,2,2
2013-05-06,1,1
2013-05-15,15,3
2013-05-19,7,3
2013-05-20,4,3
2013-05-29,4,2
2013-06-02,8,3
2013-06-03,2,1
2013-06-05,2,2
2013-06-08,14,2
2013-06-10,8,2
2013-06-20,3,1
2013-06-29,1,1
2013-06-30,2,1
2013-07-01,4,1
2013-07-02,20,1
2013-07-03,9,1
2013-07-04,1,1
2013-07-10,2,1
2013-07-11,3,2
2013-07-13,1,1
2013-07-15,4,1
2013-07-25,5,1
2013-07-26,4,1
2013-08-03,4,1
2013-08-04,3,1
2013-08-23,1,1
2013-08-27,1,1
2013-09-07,2,1
2013-09-08,1,1
2013-09-24,1,1
2013-10-19,3,1
2013-10-20,3,1
2013-10-22,1,1
2013-10-23,1,1
2013-11-10,1,1
2013-11-11,3,1
2013-11-26,1,1
2013-11-27,1,1
2013-12-02,1,1
2013-12-06,1,1
2014-04-15,1,1
2014-04-23,2,1
2014-04-24,6,1
2014-04-28,1,1
2014-05-02,1,1
2014-05-09,3,1
2014-05-13,1,1
2014-05-15,2,1
2014-05-19,1,1
2014-05-20,2,1
2014-05-21,2,1
2014-06-18,1,1
2014-08-15,3,1
2014-08-18,3,1
2014-08-19,4,1
2014-08-20,3,1
2014-08-21,4,1
2014-08-22,2,1
2014-09-04,3,1
2014-09-05,2,1
2014-09-08,1,1
2014-09-15,1,1
2014-09-16,1,1
2014-09-18,6,2
2014-09-19,2,2
2014-09-23,1,1
2014-09-24,8,2
2014-09-25,2,1
2014-09-26,3,2
2014-09-29,6,3
2014-09-30,4,1
2014-10-03,1,1
2014-10-31,2,1
2014-11-04,8,2
2014-11-05,3,1
2014-11-10,1,1
2014-11-14,2,1
2014-11-24,4,1
2014-12-02,1,1
2014-12-03,3,1
2014-12-07,2,1
2014-12-09,2,1
2014-12-10,1,1
2014-12-11,3,1
2014-12-16,1,1
2015-01-27,4,1
2015-01-28,1,1
2015-03-06,3,1
2015-03-31,1,1
2015-04-01,3,1
2015-04-05,1,1
2015-04-08,2,1
2015-04-13,1,1
2015-04-15,1,1
2015-04-16,1,1
2015-05-27,1,1
2015-06-29,3,1
2015-07-07,2,1
2015-07-12,1,1
2015-08-27,1,1
2015-09-11,1,1
2015-09-14,1,1
2015-09-23,1,1
2015-10-12,4,2
2015-10-15,1,1
2015-10-22,4,2
2015-10-23,2,1
2015-10-27,1,1
2015-10-28,1,1
2015-11-02,1,1
2015-11-04,1,1
2015-11-18,2,1
2016-04-06,1,1
2016-06-02,1,1
2016-06-08,1,1
2016-06-13,2,2
2017-02-03,1,1
2017-03-01,1,1
2017-03-02,1,1
2017-08-04,1,1
2017-08-15,1,1
2017-08-24,1,1
2017-08-28,2,1
2017-08-29,1,1
2017-08-31,1,1
2017-09-07,2,1
2017-09-12,1,1
2017-09-20,5,1
2017-09-21,3,2
2017-09-26,4,2
2017-09-27,3,2
2017-09-28,5,1
2017-09-29,4,1
2017-10-02,1,1
2017-10-03,12,1
2017-10-04,3,2
2017-10-12,3,1
2017-11-22,1,1
2017-12-04,4,1
2017-12-06,1,1
2017-12-20,2,1
2018-01-11,3,1
2018-01-12,2,1
2018-01-15,2,1
2018-01-16,3,2
2018-01-17,6,1
2018-01-18,1,1
2018-01-19,3,1
